CEP Proposto,Tipo,Novo Endereço,Endereço Antigo,Informação Adicional,Bairro
43710-780,Rua,Serra Dourada,,,Cova da Gia
43710-790,Rua,São  Januário,,,Cova da Gia
43710-800,Rua,Mané Garrincha,,,Cova da Gia
43710-810,Rua,Maracanã,,,Cova da Gia
43710-820,Rua,Beira Rio,,,Cova da Gia
43710-830,Rua,Morumbi,,,Cova da Gia
43710-840,Rua,Ilha do Retiro,,,Cova da Gia
43710-850,Rua,Nílton Santos,,,Cova da Gia
43711-040,Estrada,Cova da Gia,,,Pitanguinha
43711-045,Rua,Eduardo Santana,,,Pitanguinha
43711-050,Rua,João Arlego de Carvalho,,,Pitanguinha
43711-055,Alameda,da Pitanguinha,,,Pitanguinha
43711-060,Alameda,do Sossego,,,Pitanguinha
43711-065,Alameda,da Alegria,,,Pitanguinha
43711-070,Alameda,do Campo,,,Pitanguinha
43711-075,Rua,Igarapé,Antiga Rua Eduardo Santana,,Pitanguinha
43711-080,Rua,Iguatemi,,,Pitanguinha
43711-085,Rua,Sapucaia,,,Pitanguinha
43711-090,Rua,Guarani,Antiga Tv. Fazenda Nova,,Pitanguinha
43711-095,Travessa,Fazenda Nova,,,Pitanguinha
43711-100,Rua,Fazenda  Nova,,,Pitanguinha
43711-105,Largo,Fazenda Nova II,,,Pitanguinha
43711-110,Largo,Fazenda Nova,,,Pitanguinha
43711-115,Rua,Pirajá,,,Pitanguinha
43711-120,Rua,João Ubaldo Ribeiro,Antiga Rua Eduardo Santana,,Pitanguinha
43711-125,Rua,Castro Alves,,,Pitanguinha
43711-130,Travessa,João Ubaldo Ribeiro,,,Pitanguinha
43711-135,2ª Travessa,Castro Alves,,,Pitanguinha
43711-140,1ª Travessa,Castro Alves,,,Pitanguinha
43711-145,Rua,Tancredo Neves,,,Pitanguinha
43711-150,Travessa,João Arlego de Carvalho,,,Pitanguinha
43711-155,Rua,Carlos Lacerda,,,Pitanguinha
43711-160,Rua,Jorge Amado,,,Pitanguinha
43711-165,Beco,Carlos Lacerda,,,Pitanguinha
43711-170,Beco,Carlos Lacerda I,,,Pitanguinha
43711-175,Travessa,Tancredo Neves,,,Pitanguinha
43711-180,Rua,Érico Veríssimo,,,Pitanguinha
43711-185,Beco,Érico Veríssimo,,,Pitanguinha
43711-190,Rua,Monteiro Lobato,,,Pitanguinha
43711-195,2º Beco,Monteiro Lobato,,,Pitanguinha
43711-200,Beco,Nossa Senhora  Aparecida,,,Pitanguinha
43711-205,Rua,Bom Jesus,,,Pitanguinha
43711-210,Rua,Santo  Antônio,,,Pitanguinha
43711-215,Avenida,Edson Luiz,Antiga Estrada do Lobão,,Pitanguinha
43711-220,4ª Travessa,Edson Luiz,,,Pitanguinha
43711-225,3ª Travessa,Edson Luiz,,,Pitanguinha
43711-230,5ª Travessa,Edson Luiz,,,Pitanguinha
43711-235,1ª Travessa,Edson Luiz,,,Pitanguinha
43711-240,2ª Travessa,Edson Luiz,,,Pitanguinha
43711-245,Rua,Vital Brasil,,,Pitanguinha
43711-250,Rua,São  José,,,Pitanguinha
43711-255,Travessa,Amêndoa,,,Pitanguinha
43711-260,1º Beco,Vital Brasil,,,Pitanguinha
43711-265,Rua,Nova Brasília,,,Pitanguinha
43711-270,1ª Travessa,Boa Esperança,,,Pitanguinha
43711-275,2ª Travessa,Boa Esperança,,,Pitanguinha
43711-280,Rua,Boa Esperança,,,Pitanguinha
43711-285,Rua,da Mangabeira,,,Pitanguinha
43711-290,Beco,da Mangabeira,,,Pitanguinha
43711-295,Rua,Cabral,,,Pitanguinha
43711-300,Rua,Dutra,,,Pitanguinha
43711-305,2ª Travessa,da Mangabeira,,,Pitanguinha
43711-310,Rua,São  Raimundo,,,Pitanguinha
43711-315,Rua,Ademar de Barros,,,Pitanguinha
43711-320,Rua,João Figueiras,,,Pitanguinha
43711-325,Rua,Edmundo Costa,,,Pitanguinha
43711-330,Rua,Coutinho,,,Pitanguinha
43711-335,Rua,Antártica,,,Pitanguinha
43711-340,Travessa,Coutinho,,,Pitanguinha
43711-345,Rua,da Granja,,,Pitanguinha
43711-350,Rua,Santo  Amaro,,,Pitanguinha
43711-355,Rua,Nossa Senhora de Lourdes,,,Pitanguinha
43711-360,Rua,Santa  Luzia,,,Pitanguinha
43711-365,Rua,B,,,Pitanguinha
43711-370,Rua,A,,,Pitanguinha
43711-375,Travessa,das Pedrinhas,,,Pitanguinha
43711-380,Rua,Aldo Mouro,,,Pitanguinha
43711-385,Rua,das Pedrinhas,,,Pitanguinha
43711-390,2ª Travessa,das Pedrinhas,,,Pitanguinha
43711-395,3ª Travessa,das Pedrinhas,,,Pitanguinha
43711-400,Rua,São  Francisco,,,Pitanguinha
43711-405,Travessa,Santana,,,Pitanguinha
43711-410,Avenida,Santana,,,Pitanguinha
43711-415,Rua,Ernesto Simões Filho,,,Pitanguinha
43711-420,Travessa,Ernesto Simões Filho,Antiga Tv. Santana,,Pitanguinha
43711-425,Travessa,Ernesto Simões Filho II,Antigo Beco Santana I,,Pitanguinha
43711-430,Travessa,Ernesto Simões Filho III,Antigo Beco Santana II,,Pitanguinha
43711-435,Travessa,Ernesto Simões Filho IV,Antigo Beco Santana III,,Pitanguinha
43711-440,Rua,Costa e Silva,,,Pitanguinha
43711-445,Rua,Pitanguinha,,,Pitanguinha
43711-450,Beco,Pitanguinha I,,,Pitanguinha
43711-455,Beco,Pitanguinha II,,,Pitanguinha
43711-460,Rua,Beira Rio,,,Pitanguinha
43711-465,2ª Travessa,União,,,Pitanguinha
43711-470,6ª Travessa,da União,,,Pitanguinha
43711-475,5ª Travessa,União,,,Pitanguinha
43711-480,4ª Travessa,União,,,Pitanguinha
43711-485,3ª Travessa,União,,,Pitanguinha
43711-490,Rua,União,,,Pitanguinha
43711-495,1ª Travessa,União,,,Pitanguinha
43711-500,Rua,Senhor do Bonfim,,,Pitanguinha
43711-505,Beco,União,,,Pitanguinha
43711-510,2º Beco,Edson Luiz,,,Pitanguinha
43711-515,Rua,Iracema,,,Pitanguinha
43711-520,Rua,Floriano Peixoto,,,Pitanguinha
43711-525,1ª Travessa,Floriano Peixoto,,,Pitanguinha
43711-530,2ª Travessa,Floriano Peixoto,,,Pitanguinha
43711-535,Rua,L,,,Pitanguinha
43711-540,Rua,K,,,Pitanguinha
43711-545,Rua,J,,,Pitanguinha
43711-550,Rua,H,,,Pitanguinha
43711-555,Rua,G,,,Pitanguinha
43711-560,Rua,I,,,Pitanguinha
43711-565,Rua,F,,,Pitanguinha
43711-570,Rua,E,,,Pitanguinha
43711-575,Rua,D,,,Pitanguinha
43711-580,Rua,C,,,Pitanguinha
43711-585,Rua,B,,(Lot Lagoa Azul),Pitanguinha
43711-590,Rua,Rio Ipitanga,Antiga Rua A,,Pitanguinha
43711-595,Rua,Mata Atlântica,Antiga Rua Edson Luiz,,Pitanguinha
43711-600,Rua,Amazônia,,,Pitanguinha
43711-605,Travessa,Amazônia,,,Pitanguinha
43711-610,2ª Travessa,Amazônia,,,Pitanguinha
43711-870,Avenida,Heraldo Tinoco,,,Pitanguinha
43711-875,Estrada,da Pedreira,,,Pitanguinha
43713-000,Rodovia,BR-324,,,Ponto de Parada
43713-005,Acesso,BR-324,,,Ponto de Parada
43713-010,Rua,BR-324 II,,,Ponto de Parada
43713-015,Acesso,BR-324 III,,,Ponto de Parada
43713-020,Estrada,do SEST-SENAT,,,Ponto de Parada
43713-025,Rua,Baixa da Jaqueira,,,Ponto de Parada
43713-030,Rua,Paulo VI,,,Ponto de Parada
43713-035,1ª Travessa,Paulo VI,,,Ponto de Parada
43713-040,Travessa,Galícia,Antiga Tv. 2° Paulo VI,,Ponto de Parada
43713-045,Rua,Bahia,,,Ponto de Parada
43713-050,Rua,Vitória,,,Ponto de Parada
43713-055,1ª Travessa,Bahia,,,Ponto de Parada
43713-060,Escada,Bahia,,,Ponto de Parada
43713-065,3ª Travessa,Bahia,,,Ponto de Parada
43713-070,Travessa,Vitória da Conquista,Antiga Tv. 3° Bahia,,Ponto de Parada
43713-075,Rua,Vitória da Conquista,Antiga Tv. 2° Bahia,,Ponto de Parada
43713-080,Rua,Itapemirim,,,Ponto de Parada
43713-085,Rua,Teive E Argolo,,,Ponto de Parada
43713-090,Travessa,Professora  Maria de Souza Chaves,,,Ponto de Parada
43713-095,Rua,Juracy Magalhães,,,Ponto de Parada
43713-100,Rua,Professora  Maria de Souza Chaves,,,Ponto de Parada
43713-105,Rua,Inocêncio Antônio da Rocha,,,Ponto de Parada
43713-110,Rua,Engenheiro  Paulo Moreira,,,Ponto de Parada
43713-115,Escada,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-120,Rua,da Caixa D'Água,,,Ponto de Parada
43713-125,Avenida,Lomanto JúnIor,,,Ponto de Parada
43713-130,Beco,Irênio Chaves,,,Ponto de Parada
43713-135,Rua,Irênio Chaves,,,Ponto de Parada
43713-140,Rua,General  Labatut,,,Ponto de Parada
43713-145,Escada,Duque de CaxIas,,,Ponto de Parada
43713-150,5ª Travessa,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-155,4ª Travessa,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-160,3ª Travessa,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-165,Rua,O,,,Ponto de Parada
43713-170,2ª Travessa,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-175,1ª Travessa,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-180,Travessa,Marechal  Hermes da Fonseca,,,Ponto de Parada
43713-185,Travessa,Engenheiro  Paulo MoreIra,,,Ponto de Parada
43713-190,Travessa,General  Labatut,,,Ponto de Parada
43713-195,Praça,General  Labatut,,,Ponto de Parada
43713-200,Rua,Marechal  Hermes da Fonseca,,,Ponto de Parada
43713-205,Rua,Marechal  Deodoro,,,Ponto de Parada
43713-210,1ª Travessa,Marechal  Hermes da Fonseca,,,Ponto de Parada
43713-215,2ª Travessa,Marechal  Hermes da Fonseca,,,Ponto de Parada
43713-220,1ª Escada,da Rua Marechal Hermes da Fonseca,,,Ponto de Parada
43713-225,2ª Escada,da Rua Marechal Hermes da Fonseca,,,Ponto de Parada
43713-230,Rua,Tijuca,,,Ponto de Parada
43713-235,Rua,Patamares,,,Ponto de Parada
43713-240,Escada,Tijuca,,,Ponto de Parada
43713-245,Rua,Copacabana,,,Ponto de Parada
43713-250,Avenida,Floriano Peixoto,,,Ponto de Parada
43713-255,Rua,Piatã I,,,Ponto de Parada
43713-260,Beco,da Rua Piatã I,,,Ponto de Parada
43713-265,Avenida,Presidente  Castelo Branco,,,Ponto de Parada
43713-270,2ª Travessa,Presidente  Castelo Branco,,,Ponto de Parada
43713-275,Rua,Piatã II,,,Ponto de Parada
43713-280,Acesso,Piatã II,,,Ponto de Parada
43713-285,Caminho,Presidente  Médici,,,Ponto de Parada
43713-290,Avenida,Presidente  Médici,,,Ponto de Parada
43713-295,Rua,Presidente  Costa e SIlva,,,Ponto de Parada
43713-300,Rua,Manoel Francisco FerreIra,,,Ponto de Parada
43713-305,Rua,Nordeste,,,Ponto de Parada
43713-310,1ª Travessa,Presidente  Castelo Branco,,,Ponto de Parada
43713-315,Escada,Castelo Branco,,,Ponto de Parada
43713-320,Rua,dos Abrigados,,,Ponto de Parada
43713-325,Escada,dos Abrigados,,,Ponto de Parada
43713-330,Travessa,dos Abrigados,,,Ponto de Parada
43713-335,1ª Travessa,dos Abrigados,,,Ponto de Parada
43713-340,2ª Travessa,dos Abrigados,,,Ponto de Parada
43713-345,Rua,do Condomínio João Filgueiras Simões Filho,,,Ponto de Parada
43713-350,Avenida,Engenheiro  Walter Aragão de Souza,,,Ponto de Parada
43713-355,Avenida,Engenheiro  Elmo Serejo de Farias,,,Ponto de Parada
43713-360,Travessa,Inocêncio Antônio da Rocha,,,Ponto de Parada
43713-365,Travessa,Inocêncio Antônio da Rocha II,,,Ponto de Parada
43713-370,Travessa,Inocêncio Antônio da Rocha I,,,Ponto de Parada
43713-375,Travessa,Vale das Fontes,,,Ponto de Parada
43713-380,Rua,Vale das Fontes,,,Ponto de Parada
43713-385,Beco,Vale das Fontes,,,Ponto de Parada
43713-390,Escada,da Rua Vale das Fontes,,,Ponto de Parada
43713-395,Rua,da Escada,,,Ponto de Parada
43713-400,Travessa,João XXIII,,,Ponto de Parada
43713-405,Beco,João XXIII,,,Ponto de Parada
43713-410,Escada,João XXIII,,,Ponto de Parada
43713-415,2ª Travessa,João XXIII,,,Ponto de Parada
43713-420,1ª Travessa,João XXIII,,,Ponto de Parada
43713-425,Avenida,João XXIII,,,Ponto de Parada
43713-430,Travessa,Marlene Aragão Carneiro,,,Ponto de Parada
43713-435,Rua,Marlene Aragão Carneiro,,,Ponto de Parada
43713-600,Rua,Marlene Aragão Carneiro,,,Coroa da Lagoa
43713-605,Avenida,João XXIII,,,Coroa da Lagoa
43713-610,Rua,Topázio,,,Coroa da Lagoa
43713-615,Caminho,Marlene Aragão Carneiro,,,Coroa da Lagoa
43713-620,Beco,Marlene Aragão Carneiro,,,Coroa da Lagoa
43713-625,Travessa,do Tesouro,,,Coroa da Lagoa
43713-630,Beco,Marlene Aragão CarneIro II,,,Coroa da Lagoa
43713-635,Travessa,Diamantina,,,Coroa da Lagoa
43713-640,Rua,Diamantina,,,Coroa da Lagoa
43713-645,Beco,Diamantina,,,Coroa da Lagoa
43713-650,Rua,AN,,,Coroa da Lagoa
43713-655,Rua,Passos,,,Coroa da Lagoa
43713-660,Caminho,Topázio,,,Coroa da Lagoa
43713-665,Rua,A,,,Coroa da Lagoa
43713-670,Rua,do Tesouro,,,Coroa da Lagoa
43713-675,Beco,do Tesouro,,,Coroa da Lagoa
43713-680,Rua,Baixa da Jaqueira,,,Coroa da Lagoa
43713-685,Rua,Pinheiro,,,Coroa da Lagoa
43713-690,Beco,do Tesouro I,,,Coroa da Lagoa
43713-695,Rua,Rubi,,,Coroa da Lagoa
43713-700,Beco,Baixa da Jaqueira I,,,Coroa da Lagoa
43713-705,Travessa,Baixa da Jaqueira,,,Coroa da Lagoa
43713-710,Rua,Itacaré,,,Coroa da Lagoa
43713-715,Travessa,Itacaré,,,Coroa da Lagoa
43713-720,Rua,Cubatão,,,Coroa da Lagoa
43713-725,Travessa,Topázio,,,Coroa da Lagoa
43713-730,Rua,Z,,,Coroa da Lagoa
43713-735,Travessa,Z,,,Coroa da Lagoa
43713-740,Rua,Petrolina,,,Coroa da Lagoa
43713-745,Rua,São  Felipe,,,Coroa da Lagoa
43713-750,Rua,RIbeIrão,,,Coroa da Lagoa
43713-755,Beco,RIbeIrão,,,Coroa da Lagoa
43713-760,Travessa,da Pimenta,,,Coroa da Lagoa
43713-765,Rua,da Pimenta,,,Coroa da Lagoa
43713-770,Rua,da Coroa,,,Coroa da Lagoa
43713-775,Travessa,da Coroa,,,Coroa da Lagoa
43713-780,Acesso,do Socorro,,,Coroa da Lagoa
43713-785,Rua,do Socorro,,,Coroa da Lagoa
43713-790,Rua,Nossa Senhora da Conceição,,,Coroa da Lagoa
43713-795,Travessa,do Socorro,,,Coroa da Lagoa
43713-800,Travessa,Barreiras,,,Coroa da Lagoa
43713-805,Caminho,Antônio Carlos Magalhães,,,Coroa da Lagoa
43713-810,2ª Travessa,do Socorro,,,Coroa da Lagoa
43713-815,Travessa,São  Felipe,,,Coroa da Lagoa
43713-820,Praça,Antônio Carlos Magalhães,,,Coroa da Lagoa
43713-825,Rua,Barreiras,,,Coroa da Lagoa
43713-830,Escada,Engenheiro  Elmo Serejo de Farias,,,Coroa da Lagoa
43713-835,Rua,Rio Pardo,,,Coroa da Lagoa
43713-840,Travessa,Rio Pardo,,,Coroa da Lagoa
43713-845,Rua,Cristina Santos,,,Coroa da Lagoa
43713-850,Rua,Juazeiro,,,Coroa da Lagoa
43713-855,1ª Travessa,Barreiras,,,Coroa da Lagoa
43713-860,Travessa,Juazeiro,,,Coroa da Lagoa
43713-865,Rua,Jacuípe,,,Coroa da Lagoa
43713-870,Rua,Itapetinga,,,Coroa da Lagoa
43713-875,Caminho,O,,,Coroa da Lagoa
43713-880,3ª Travessa,Barreiras,,,Coroa da Lagoa
43713-885,Beco,Barreiras,,,Coroa da Lagoa
43713-890,Avenida,do Colégio Polivalente,,,Coroa da Lagoa
43713-895,Rua,G,,,Coroa da Lagoa
43714-000,Caminho,Q,,,Coroa da Lagoa
43714-005,Rua,Caitité,,,Coroa da Lagoa
43714-010,Beco,Caitité,,,Coroa da Lagoa
43714-015,Travessa,Caitité,,,Coroa da Lagoa
43714-020,Avenida,Engenheiro  Elmo Serejo de Farias,,,Coroa da Lagoa
43714-030,Avenida,Engenheiro  Elmo Serejo de Farias,,,CIA II
43714-035,Travessa,Elmo Serejo de Farias,,,CIA II
43714-040,Rua,Francisco Copirunga,,,CIA II
43714-045,Rua,Vereadora  Cleide Vieira,,,CIA II
43714-050,Travessa,Francisco Copirunga,,,CIA II
43714-055,Travessa,Vereadora  Cleide Vieira,,,CIA II
43714-060,Travessa,Quatorze de Agosto,,,CIA II
43714-065,Escada,Vereadora  Cleide Vieira,,,CIA II
43714-070,1ª Travessa,Quatorze de Maio,,,CIA II
43714-075,Rua,Quatorze de Maio,,,CIA II
43714-080,Beco,Quatorze de Maio I,,,CIA II
43714-085,2ª Travessa,Quatorze de Maio,,,CIA II
43714-090,3ª Travessa,Quatorze de Maio,,,CIA II
43714-095,4ª Travessa,Quatorze de Maio,,,CIA II
43714-100,Travessa,Princesa  Isabel,,,CIA II
43714-105,Escada,Princesa  Isabel,,,CIA II
43714-110,Rua,Princesa  Isabel,,,CIA II
43714-115,Rua,Ceará,,,CIA II
43714-120,Rua,do Campo,,,CIA II
43714-125,Travessa,Ceará I,,,CIA II
43714-130,Beco,Ceará I,,,CIA II
43714-135,Beco,Ceará II,,,CIA II
43714-140,Beco,Ceará III,,,CIA II
43714-145,Travessa,Ceará,,,CIA II
43714-150,Rua,da Alegria,,,CIA II
43714-155,Rua,Joaquim Nabuco,,,CIA II
43714-160,Beco,do Paraíso I,,,CIA II
43714-165,Beco,Princesa  Isabel I,,,CIA II
43714-170,Beco,Princesa  Isabel II,,,CIA II
43714-175,Beco,Princesa  Isabel IV,,,CIA II
43714-180,Escada,Joaquim Nabuco,,,CIA II
43714-185,Beco,do Paraíso II,,,CIA II
43714-190,Beco,Antônio Bandeira,,,CIA II
43714-195,Travessa,Antônio Bandeira,,,CIA II
43714-200,Beco,Antônio Bandeira VI,,,CIA II
43714-205,Beco,Antônio Bandeira I,,,CIA II
43714-210,Beco,Antônio Bandeira II,,,CIA II
43714-215,Beco,Antônio Bandeira V,,,CIA II
43714-220,Beco,Antônio Bandeira III,,,CIA II
43714-225,Beco,Antônio Bandeira IV,,,CIA II
43714-230,Rua,Jerusalém,,,CIA II
43714-235,Travessa,Jerusalém,,,CIA II
43714-240,1ª Travessa,Jerusalém,,,CIA II
43714-245,Rua,Olavo Bilac,,,CIA II
43714-250,Rua,Maria Bonita,,,CIA II
43714-255,Largo,Maria Bonita,,,CIA II
43714-260,Rua,Maria Bonita II,,,CIA II
43714-265,Travessa,Maria Bonita,,,CIA II
43714-270,Rua,Maria Bonita III,,,CIA II
43714-275,Beco,Maria Bonita II,,,CIA II
43714-280,Beco,Maria Bonita I,,,CIA II
43714-285,Beco,Maria Bonita,,,CIA II
43714-290,Beco,Vivenda dos Pássaros,,,CIA II
43714-295,Rua,Vivenda dos Pássaros,,,CIA II
43714-300,Beco,da Alegria,,,CIA II
43714-305,Rua,Gonçalves Dias,,,CIA II
43714-310,Travessa,Gonçalves Dias,,,CIA II
43714-315,Rua,Raquel de Queiroz,,,CIA II
43714-320,Rua,Villa Lobos,,,CIA II
43714-325,Travessa,Santa  Catarina I,,,CIA II
43714-330,Rua,Santa  Catarina,,,CIA II
43714-335,Rua,Vivendas dos Pássaros I,,,CIA II
43714-490,Rua,Ana Nery,,,CIA II
43714-495,Rua,da Amizade,,,CIA II
43714-500,Rua,Gaspar Dutra,,,CIA II
43714-505,Rua,Visconde de Barbacena,,,CIA II
43714-510,Beco,Visconde de Barbacena,,,CIA II
43714-515,Rua,Vila Rica,,,CIA II
43714-520,Rua,Arco Verde,,,CIA II
43714-580,Rua,Monte Pascoal,,,CIA II
43714-585,Rua,José Bonifácio,,,CIA II
43714-590,Caminho,5,,,CIA II
43714-595,Rua,Dom  João VI,,,CIA II
43714-600,Beco,Dom  João VI,,,CIA II
43714-605,Travessa,Dom  João VI,,,CIA II
43714-610,Travessa,1,,,CIA II
43714-615,Rua,da Independência,,,CIA II
43714-620,Rua,Monte Castelo,,,CIA II
43714-625,Rua,Ouro Preto,,,CIA II
43714-630,Rua,Sete de Abril,,,CIA II
43714-635,Rua,Osvaldo Cruz,,,CIA II
43714-640,Rua,Tibirica,,,CIA II
43714-645,Rua,São  Vicente,,,CIA II
43714-650,Rua,São  Mateus,,,CIA II
43714-655,2ª Travessa,São  Vicente,,,CIA II
43714-660,Rua,São  Francisco,,,CIA II
43714-665,4ª Travessa,São  Vicente,,,CIA II
43714-770,Rua,D,,(Lot Recanto do Sol),CIA II
43714-810,Rua,B,,(Lot Recanto do Sol),CIA II
43714-815,Rua,C,,(Lot Recanto do Sol),CIA II
43714-820,Rua,I,,(Lot Recanto do Sol),CIA II
43714-825,Rua,A,,(Lot Recanto do Sol),CIA II
43714-830,Rua,T,,(Lot Recanto do Sol),CIA II
43714-835,Rua,S,,(Lot Recanto do Sol),CIA II
43714-840,Rua,Q,,(Lot Recanto do Sol),CIA II
43714-845,Rua,P,,(Lot Recanto do Sol),CIA II
43714-850,Rua,F,,(Lot Recanto do Sol),CIA II
43714-855,Rua,R,,(Lot Recanto do Sol),CIA II
43714-860,Rua,D,,(Lot Recanto do Sol),CIA II
43714-865,Rua,E,,(Lot Recanto do Sol),CIA II
43714-870,Estrada,Via Universitária - Km 30,,,CIA II
43715-080,Via,Universitária,,,CIA II
43715-170,Via,Universitária,,,CIA I
43715-175,Estrada,Cova da Gia,,,CIA I
43715-180,Praça,Manoel Nascimento Costa,,,CIA I
43715-185,Avenida,NascImento,,,CIA I
43715-490,Rua,Vital Brasil,,,CIA I
43715-495,Praça,Oceania,,,CIA I
43715-500,Rua,do Vale,,,CIA I
43715-505,Beco,Vital Brasil,,,CIA I
43715-510,Rua,Alagoas,,,CIA I
43715-515,Travessa,Doutor  Carlos Chagas,,,CIA I
43715-520,Rua,Osvaldo Cruz,,,CIA I
43715-525,Rua,Doutor  Carlos Chagas,,,CIA I
43715-530,Travessa,Osvaldo Cruz,,,CIA I
43715-535,Rua,Boa Vista,,,CIA I
43715-540,Caminho,7,,,CIA I
43715-545,Rua,Minas Gerais,,,CIA I
43715-550,2ª Travessa,Minas Gerais,,,CIA I
43715-555,1ª Travessa,Minas Gerais,,,CIA I
43715-560,Travessa,Boa Vista,,,CIA I
43715-565,Rua,Rio Grande do Norte,,,CIA I
43715-570,Beco,Minas Gerais,,,CIA I
43715-575,Praça,Doutor  Afrânio Peixoto,,,CIA I
43715-580,Rua,Doutor  Manoel de Abreu,,,CIA I
43715-585,Avenida,Doutor  Manoel Vitorino,,,CIA I
43715-590,Rua,Acre,,,CIA I
43715-595,Rua,Piauí,,,CIA I
43715-600,Rua,Santa  Cruz,,,CIA I
43715-605,Rua,Paraná,,,CIA I
43715-610,1ª Travessa,Paraná,,,CIA I
43715-615,3ª Travessa,Minas Gerais,,,CIA I
43715-620,2ª Travessa,Paraná,,,CIA I
43715-625,Travessa,Paralela,,,CIA I
43715-630,Rua,Paralela,,,CIA I
43715-635,Travessa,Contorno,,,CIA I
43715-640,Rua,Contorno,,,CIA I
43715-645,Beco,Contorno,,,CIA I
43715-650,Estrada,do SESI-SENAI,,,CIA I
43715-655,Travessa,do SESI-SENAI,,,CIA I
43715-660,Caminho,1,,(Cj Vida Nova),CIA I
43715-665,Caminho,3,,(Cj Vida Nova),CIA I
43715-670,Caminho,4,,(Cj Vida Nova),CIA I
43715-675,Caminho,5,,(Cj Vida Nova),CIA I
43715-680,Caminho,6,,(Cj Vida Nova),CIA I
43715-685,Caminho,7,,(Cj Vida Nova),CIA I
43715-690,Caminho,1A,,(Cj Vida Nova),CIA I
43715-695,Caminho,8,,(Cj Vida Nova),CIA I
43715-700,Acesso,2,,(Cj Vida Nova),CIA I
43715-705,Caminho,9,,(Cj Vida Nova),CIA I
43715-710,Acesso,1,,(Cj Vida Nova),CIA I
43715-715,Caminho,16,,(Cj Vida Nova),CIA I
43715-720,Caminho,15,,(Cj Vida Nova),CIA I
43715-725,Caminho,17,,(Cj Vida Nova),CIA I
43715-730,Caminho,19,,(Cj Vida Nova),CIA I
43715-735,Caminho,22,,(Cj Vida Nova),CIA I
43715-740,Caminho,21,,(Cj Vida Nova),CIA I
43715-745,Rua,B,,(Cj Vida Nova),CIA I
43715-750,Caminho,23,,(Cj Vida Nova),CIA I
43715-755,Caminho,20,,(Cj Vida Nova),CIA I
43715-760,Caminho,18,,(Cj Vida Nova),CIA I
43715-765,Rua,A,,(Cj Vida Nova),CIA I
43715-770,Caminho,14,,(Cj Vida Nova),CIA I
43715-775,Caminho,13,,(Cj Vida Nova),CIA I
43715-780,Caminho,12,,(Cj Vida Nova),CIA I
43715-785,Caminho,11,,(Cj Vida Nova),CIA I
43715-790,Caminho,10,,(Cj Vida Nova),CIA I
43715-795,Avenida,Engenheiro  Elmo Serejo de Farias,,,CIA I
43715-800,1º Beco,Engenheiro  Elmo Serejo de Farias,,,CIA I
43715-805,Rua,Manoel Lino Rodrigues Piedade,,,CIA I
43715-810,Rua,Antônio Carlos Magalhães,,,CIA I
43715-815,Rua,São  Paulo,,,CIA I
43715-820,Travessa,São  Paulo,,,CIA I
43715-825,Travessa,São  Paulo I,,,CIA I
43715-830,Beco,São  Paulo I,,,CIA I
43715-835,1º Beco,São  Paulo,,,CIA I
43715-840,Travessa,São  Paulo II,,,CIA I
43715-845,Avenida,do Colégio Polivalente,,,CIA I
43715-850,Estrada,do SEST-SENAT,,,CIA I
